"ID","Name","Character","EntityName","HexDec","HTMLExample","HTMLDescription"
1,"Quotation mark","""","quot","U+0022 (34)","",""
2,"Ampersand","&","amp","U+0026 (38)","",""
3,"Apostrophe","'","apos","U+0027 (39) ","",""
4,"Less-than","<","lt","U+003C (60)","",""
5,"Greater-than",">","gt","U+003E (62)","",""
6,"Number sign","#","num","U+0023 (35)","",""
7,"Solidus","/","sol","U+002F (47)","",""
8,"Reverse solidus (backward solidus)","\\","bsol","U+005C (92)","",""
9,"Semicolon",";","semi","U+003B (59)","",""
10,"Colon",":","colon","U+003A (58)","",""
11,"Full stop (period)",".","period","U+002E (46)","",""
