"ID","Group","Name","LaTeX","MathML","HTMLExample","Output","HTMLDescription"
1,1,"Equation Inline","`\(...\)`, `$...$`","<math> hay <math xmlns=""http://www.w3.org/1998/Math/MathML"" >","`$xyz$`","Công -- $xyz$ -- thức.","Hiển thị Công thức toán học trong đoạn văn."
2,1,"Equation Display","`\[...\]`, `$$...$$`","<math xmlns=""http://www.w3.org/1998/Math/MathML"" display=""block"">","`$$xyz$$`","Công -- $$xyz$$ -- thức.","Hiển thị Công thức toán học thành một khối riêng biệt."
3,2,"Nomal Style","`\mathrm{…}`","<math mathvariant=""normal"">","`$\mathrm{xyz}$`","$\mathrm{xyz}$","Hiển thị Công thức toán học ở dạng bình thường (không in nghiêng)."
4,2,"Spacing","`\,` `\:` `\;` `\ (space)` `\quad` `\qquad`","","`$f(x)=x\ +3$`","$f(x)=x\ +3$","Xem thêm: https://www.overleaf.com/learn/latex/Spacing_in_math_mode"
5,2,"Multilines","`\\`","","`$f(x)=x\,+y\\` `f(x)=x\quad+y$`","$f(x)=x\,+y\\f(x)=x\quad+y$",""
6,2,"Group multilines","`\begin{cases}` `…` `\end{cases}`","","`$\begin{cases}` `x=a\\x-y=b` `\end{cases}$`","$\begin{cases}x=a\\x-y=b\end{cases}$",""
7,2,"","`\left.\begin{split}` `…` `\end{split}\right`","","`$\left.\begin{split}` `x=a\\x-y=b` `\end{split}\right\}$`","$\left.\begin{split}x=a\\x-y=b\end{split}\right\}$",""
8,2,"Text markup","`\text`","","`$x+y=z\quad` `\text{(Phương trình 1)}$`","$x+y=z\quad\text{(Phương trình 1)}$",""
9,2,"Bold text","`\textbf`","","`$\textbf{x}+y$`","$\textbf{x}+y$","Xem thêm mục `11.1. Formatted text` và `12. Formatting mathematics symbols`: https://en.wikibooks.org/wiki/LaTeX/Mathematics#Formatted_text"
10,2,"Color","`\color`","","`${\color{red}x}` `\mathbin{\color{#00ff00}-}` ` 2$`","${\color{red}x}\mathbin{\color{#00ff00}-} 2$","Xem thêm mục `13. Color`: https://en.wikibooks.org/wiki/LaTeX/Mathematics#Color"
11,2,"Boxed Equations","`\boxed`","","`$\boxed{x+y=z}$`","$\boxed{x+y=z}$",""
12,3,"Identifiers","","<mi>","","",""
13,3,"Greek letters","`\alpha` `\beta`","","`$\alpha$` `$\beta$`","$\alpha$ $\beta$",""
14,3,"","`\delta` `\Delta`","","`$\delta$` `$\Delta$`","$\delta$ $\Delta$",""
15,3,"","`\epsilon` `\varepsilon`","","`$\epsilon$` `$\varepsilon$`","$\epsilon$ $\varepsilon$",""
16,3,"","`\eta` `\lambda`","","`$\eta$` `$\lambda$`","$\eta$ $\lambda$",""
17,3,"","`\gamma` `\Gamma`","","`$\gamma$` `$\Gamma$`","$\gamma$ $\Gamma$",""
18,3,"","`\pi` `\Pi`","","`$\pi$` `$\Pi$`","$\pi$ $\Pi$",""
19,3,"","`\phi` `\varphi` `\Phi`","","`$\phi$` `$\varphi$` `$\Phi$`","$\phi$ $\varphi$ $\Phi$",""
